Test Number,newTime,newPathLength,dijkstraTime,dijkstraPathLength,bfsTime,bfsPathLength,dfsTime,dfsPathLength,astarTime,astarPathLength
1,9.489059448242188e-05,5,0.00046515464782714844,6,0,0,5.412101745605469e-05,31,0.00012803077697753906,5
2,4.887580871582031e-05,2,0.0004699230194091797,3,0,0,4.100799560546875e-05,27,9.202957153320312e-05,2
3,0.00013399124145507812,5,0.0006248950958251953,6,0,0,0.00011682510375976562,34,0.00024700164794921875,5
4,5.412101745605469e-05,3,0.0005509853363037109,6,0,0,7.152557373046875e-06,4,0.00010800361633300781,3
5,3.886222839355469e-05,2,0.0010001659393310547,3,0,0,6.794929504394531e-05,39,8.511543273925781e-05,2
6,7.390975952148438e-05,5,0.00019884109497070312,10,0,0,2.5033950805664062e-05,22,0.00010013580322265625,5
7,9.202957153320312e-05,6,0.00017309188842773438,7,0,0,3.2901763916015625e-05,24,0.00011801719665527344,6
8,4.9114227294921875e-05,3,0.00015497207641601562,8,0,0,4.0531158447265625e-06,4,8.511543273925781e-05,3
9,8.511543273925781e-05,6,0.00010895729064941406,7,0,0,1.0013580322265625e-05,11,0.00010800361633300781,6
10,5.984306335449219e-05,4,4.315376281738281e-05,5,0,0,3.0040740966796875e-05,24,8.797645568847656e-05,4
11,8.511543273925781e-05,6,0.0005550384521484375,11,0,0,4.887580871582031e-05,34,0.00011610984802246094,6
12,6.413459777832031e-05,4,4.100799560546875e-05,5,0,0,7.867813110351562e-06,7,0.0001361370086669922,4
13,0.00013899803161621094,4,0.0005600452423095703,5,0,0,6.008148193359375e-05,19,0.00014710426330566406,4
14,0.0001811981201171875,9,0.00034499168395996094,12,0,0,6.890296936035156e-05,27,0.00020599365234375,7
15,7.486343383789062e-05,5,9.393692016601562e-05,6,0,0,1.9073486328125e-05,18,9.799003601074219e-05,5
16,0.00010013580322265625,7,8.797645568847656e-05,8,0,0,2.288818359375e-05,20,0.00012111663818359375,7
17,6.29425048828125e-05,4,4.506111145019531e-05,5,0,0,1.5020370483398438e-05,15,9.417533874511719e-05,4
18,8.511543273925781e-05,6,6.508827209472656e-05,7,0,0,1.0967254638671875e-05,11,0.00011396408081054688,6
19,4.792213439941406e-05,3,0.0003311634063720703,8,0,0,2.8848648071289062e-05,23,8.296966552734375e-05,3
20,8.988380432128906e-05,5,0.00018310546875,8,0,0,3.0994415283203125e-05,24,0.00018906593322753906,5
21,3.814697265625e-05,2,0.000476837158203125,3,0,0,5.698204040527344e-05,38,7.891654968261719e-05,2
22,6.008148193359375e-05,4,0.0003440380096435547,9,0,0,9.059906005859375e-06,7,9.703636169433594e-05,4
23,6.699562072753906e-05,4,0.0005688667297363281,9,0,0,0.00013899803161621094,32,0.0001380443572998047,4
24,7.605552673339844e-05,5,0.0010340213775634766,8,0,0,8.797645568847656e-05,48,0.00010609626770019531,5
25,7.390975952148438e-05,5,4.482269287109375e-05,6,0,0,1.0013580322265625e-05,10,0.00010013580322265625,5
26,5.91278076171875e-05,4,0.00010395050048828125,5,0,0,5.0067901611328125e-06,5,8.797645568847656e-05,4
27,7.510185241699219e-05,5,0.00014901161193847656,8,0,0,1.5974044799804688e-05,16,0.00010514259338378906,5
28,3.790855407714844e-05,2,0.00010800361633300781,3,0,0,1.811981201171875e-05,17,7.891654968261719e-05,2
29,9.298324584960938e-05,7,0.00040411949157714844,12,0,0,5.507469177246094e-05,38,0.00012803077697753906,7
30,3.790855407714844e-05,2,0.0006539821624755859,3,0,0,6.4849853515625e-05,42,7.700920104980469e-05,2
31,4.9114227294921875e-05,3,3.2901763916015625e-05,4,0,0,1.811981201171875e-05,16,8.606910705566406e-05,3
32,7.104873657226562e-05,5,0.0003597736358642578,12,0,0,5.1021575927734375e-05,36,0.00012612342834472656,5
33,3.695487976074219e-05,2,7.319450378417969e-05,3,0,0,3.814697265625e-06,3,7.915496826171875e-05,2
34,0.00011301040649414062,9,0.00021004676818847656,14,0,0,2.193450927734375e-05,19,9.894371032714844e-05,9
35,3.814697265625e-05,2,0.00014781951904296875,3,0,0,2.2172927856445312e-05,20,7.700920104980469e-05,2
36,6.079673767089844e-05,4,0.0003437995910644531,9,0,0,3.600120544433594e-05,28,9.393692016601562e-05,4
37,0.000102996826171875,7,0.0005960464477539062,8,0,0,7.009506225585938e-05,45,0.00011301040649414062,7
38,8.416175842285156e-05,6,0.00017690658569335938,9,0,0,2.8848648071289062e-05,23,0.000102996826171875,6
39,7.200241088867188e-05,5,0.00027108192443847656,10,0,0,3.600120544433594e-05,28,0.00010085105895996094,5
40,0.00012922286987304688,5,0.00010800361633300781,6,0,0,2.5033950805664062e-05,20,0.00011086463928222656,5
41,7.486343383789062e-05,5,0.00028514862060546875,6,0,0,3.2901763916015625e-05,26,0.00010395050048828125,5
42,8.487701416015625e-05,6,0.00015211105346679688,9,0,0,2.002716064453125e-05,19,0.00010704994201660156,6
43,5.0067901611328125e-05,3,0.00021386146545410156,4,0,0,2.6941299438476562e-05,22,8.58306884765625e-05,3
44,3.600120544433594e-05,2,0.0002849102020263672,3,0,0,4.0531158447265625e-06,4,8.0108642578125e-05,2
45,8.392333984375e-05,6,0.0003991127014160156,11,0,0,7.390975952148438e-05,42,0.00010395050048828125,6
46,7.200241088867188e-05,5,0.0004029273986816406,10,0,0,3.1948089599609375e-05,25,9.894371032714844e-05,5
47,6.198883056640625e-05,4,0.00014781951904296875,5,0,0,2.384185791015625e-05,21,9.298324584960938e-05,4
48,0.00011801719665527344,9,0.0004169940948486328,10,0,0,5.2928924560546875e-05,36,0.0001220703125,9
49,9.489059448242188e-05,7,0.0007171630859375,12,0,0,7.200241088867188e-05,45,0.00012183189392089844,7
50,8.106231689453125e-05,5,0.00044608116149902344,12,0,0,7.510185241699219e-05,41,0.00010704994201660156,5
51,7.009506225585938e-05,5,7.796287536621094e-05,10,0,0,7.152557373046875e-06,6,9.393692016601562e-05,5
52,7.295608520507812e-05,5,0.0003821849822998047,8,0,0,4.291534423828125e-05,32,0.000102996826171875,5
53,7.104873657226562e-05,5,8.296966552734375e-05,8,0,0,7.152557373046875e-06,6,9.584426879882812e-05,5
54,4.9114227294921875e-05,3,7.510185241699219e-05,6,0,0,1.0967254638671875e-05,10,8.58306884765625e-05,3
55,0.0001430511474609375,11,0.00012612342834472656,14,0,0,1.0967254638671875e-05,12,0.00016188621520996094,11
56,9.679794311523438e-05,7,0.0006368160247802734,10,0,0,6.914138793945312e-05,43,0.00012302398681640625,7
57,7.295608520507812e-05,5,0.0002570152282714844,8,0,0,3.790855407714844e-05,30,0.00010418891906738281,5
58,0.00010919570922851562,8,0.0005710124969482422,13,0,0,6.699562072753906e-05,41,0.00013899803161621094,8
59,6.198883056640625e-05,4,0.0002720355987548828,5,0,0,2.6941299438476562e-05,23,9.107589721679688e-05,4
60,3.910064697265625e-05,2,0.00025391578674316406,3,0,0,3.4809112548828125e-05,27,7.700920104980469e-05,2
61,9.512901306152344e-05,7,0.00010395050048828125,8,0,0,1.0013580322265625e-05,10,0.00012302398681640625,7
62,6.008148193359375e-05,4,0.0003409385681152344,13,0,0,1.0013580322265625e-05,9,8.702278137207031e-05,4
63,6.198883056640625e-05,4,0.0003299713134765625,9,0,0,4.1961669921875e-05,31,9.608268737792969e-05,4
